BSSIDLabel,RSSLabel,RoomLabel,SSIDLabel,finLabel
06:69:6c:0a:bf:02,-56,1,HUST_WIRELESS,1
20:76:93:3a:ae:78,-69,1,HC5761,1
4a:69:6c:07:a1:e7,-69,1,HUST_WIRELESS_AUTO,1
2a:69:6c:05:c5:25,-71,1,HUST_WIRELESS_AUTO,1
24:05:0f:9b:e7:63,-80,1,zqxll2003,1
08:57:00:7b:63:16,-86,1,TL-WTR9500,1
94:53:30:11:ac:12,-86,1,HP-Print-12-LaserJet Pro MFP,1
88:25:93:58:06:63,-86,1,TP-LINK_580663,1
00:0f:e2:db:26:20,-70,1,ChinaNet,1
4a:69:6c:07:a1:e5,-65,1,HUST_WIRELESS,1
06:69:6c:0a:bf:06,-74,1,HUST_WIRELESS,1
60:0b:03:0e:2b:b0,-82,1,HUST_WIRELESS,1
0e:69:6c:0a:bf:02,-56,1,HUST_WIRELESS_AUTO,1
f8:da:0c:73:0f:e7,-68,1,yang,1
0e:69:6c:0a:bf:06,-74,1,HUST_WIRELESS_AUTO,1
60:0b:03:09:08:31,-78,1,HUST_WIRELESS_AUTO,1
00:87:46:20:fb:02,-91,1,360WiFi-FB02,1
2a:69:6c:05:c5:23,-71,1,HUST_WIRELESS,1
fa:69:6c:07:93:22,-91,1,HUST_WIRELESS_AUTO,1
fa:69:6c:07:93:20,-89,1,HUST_WIRELESS,1
ea:69:6c:07:91:ff,-91,1,HUST_WIRELESS,1
6a:69:6c:05:c3:09,-88,1,HUST_WIRELESS_AUTO,1
06:69:6c:0a:be:fa,-85,1,HUST_WIRELESS,1
a8:57:4e:4d:5f:40,-89,1,511,1
60:0b:03:09:08:30,-78,1,HUST_WIRELESS,1
1a:69:6c:07:8b:92,-92,1,HUST_WIRELESS,1
60:0b:03:0e:2b:b1,-82,1,HUST_WIRELESS_AUTO,1
42:49:0f:06:46:77,-86,1,DIRECT-77-HP M427 LaserJet,1
b0:d5:9d:92:64:90,-93,1,315,1
38:22:d6:aa:15:30,-91,1,ChinaNet,1
0e:69:6c:0a:be:fa,-85,1,HUST_WIRELESS_AUTO,1
4c:e6:76:c9:fc:00,-85,1,HongboJiangOffice,1
7a:69:6c:07:96:7a,-88,1,HUST_WIRELESS_AUTO,1
7a:69:6c:07:96:78,-90,1,HUST_WIRELESS,1
4a:cf:5e:50:5f:67,-85,1,ACynthia_GY,1
0e:69:6c:0a:bf:02,-63,1,HUST_WIRELESS_AUTO,2
4a:69:6c:07:a1:e7,-66,1,HUST_WIRELESS_AUTO,2
2a:69:6c:05:c5:25,-67,1,HUST_WIRELESS_AUTO,2
08:57:00:7b:63:16,-72,1,TL-WTR9500,2
0e:69:6c:0a:bf:06,-74,1,HUST_WIRELESS_AUTO,2
42:49:0f:06:46:77,-74,1,DIRECT-77-HP M427 LaserJet,2
20:76:93:3a:ae:78,-79,1,HC5761,2
24:05:0f:9b:e7:63,-78,1,zqxll2003,2
6a:69:6c:05:c3:09,-80,1,HUST_WIRELESS_AUTO,2
b0:d5:9d:92:64:90,-85,1,315,2
88:25:93:58:06:63,-81,1,TP-LINK_580663,2
4c:e6:76:c9:fc:00,-86,1,HongboJiangOffice,2
7a:69:6c:07:96:7a,-90,1,HUST_WIRELESS_AUTO,2
4a:69:6c:07:85:77,-91,1,HUST_WIRELESS_AUTO,2
14:75:90:a5:bd:60,-93,1,hustac517,2
06:69:6c:0a:bf:02,-65,1,HUST_WIRELESS,2
4a:69:6c:07:a1:e5,-67,1,HUST_WIRELESS,2
2a:69:6c:05:c5:23,-67,1,HUST_WIRELESS,2
06:69:6c:0a:bf:06,-74,1,HUST_WIRELESS,2
00:0f:e2:db:26:20,-74,1,ChinaNet,2
6a:69:6c:05:c3:07,-85,1,HUST_WIRELESS,2
da:69:6c:07:8e:9e,-93,1,HUST_WIRELESS,2
4a:69:6c:07:85:75,-93,1,HUST_WIRELESS,2
f0:b4:29:3c:68:ef,-86,1,Seven,2
7c:d1:c3:76:79:fa,-89,1,ADESKTOP-ELSA6EU,2
b0:d5:9d:8c:2d:b1,-90,1,360免费WiFi-B1,2
46:27:1e:27:cc:05,-91,1,360免费WiFi-N7,2
00:0f:e2:db:25:20,-88,1,ChinaNet,2
00:0f:e2:98:15:10,-95,1,ChinaNet,2
06:69:6c:0a:bf:02,-56,1,HUST_WIRELESS,3
20:76:93:3a:ae:78,-74,1,HC5761,3
4a:69:6c:07:a1:e7,-56,1,HUST_WIRELESS_AUTO,3
2a:69:6c:05:c5:25,-65,1,HUST_WIRELESS_AUTO,3
24:05:0f:9b:e7:63,-85,1,zqxll2003,3
08:57:00:7b:63:16,-74,1,TL-WTR9500,3
94:53:30:11:ac:12,-79,1,HP-Print-12-LaserJet Pro MFP,3
88:25:93:58:06:63,-85,1,TP-LINK_580663,3
00:0f:e2:db:26:20,-68,1,ChinaNet,3
4a:69:6c:07:a1:e5,-57,1,HUST_WIRELESS,3
06:69:6c:0a:bf:06,-72,1,HUST_WIRELESS,3
60:0b:03:0e:2b:b0,-79,1,HUST_WIRELESS,3
f8:da:0c:73:0f:e7,-69,1,yang,3
0e:69:6c:0a:bf:06,-71,1,HUST_WIRELESS_AUTO,3
2a:69:6c:05:c5:23,-65,1,HUST_WIRELESS,3
6a:69:6c:05:c3:09,-87,1,HUST_WIRELESS_AUTO,3
06:69:6c:0a:be:fa,-85,1,HUST_WIRELESS,3
60:0b:03:0e:2b:b1,-79,1,HUST_WIRELESS_AUTO,3
42:49:0f:06:46:77,-80,1,DIRECT-77-HP M427 LaserJet,3
7a:69:6c:07:96:78,-91,1,HUST_WIRELESS,3
4a:cf:5e:50:5f:67,-85,1,ACynthia_GY,3
0e:69:6c:0b:21:d2,-84,1,HUST_WIRELESS_AUTO,3
06:69:6c:0b:21:d2,-85,1,HUST_WIRELESS,3
6a:69:6c:05:c3:07,-88,1,HUST_WIRELESS,3
0e:69:6c:0a:bf:02,-54,1,HUST_WIRELESS_AUTO,3
4c:e6:76:c9:fc:00,-81,1,HongboJiangOffice,3
aa:69:6c:07:90:fd,-85,1,HUST_WIRELESS_AUTO,3
06:69:6c:0a:c0:86,-88,1,HUST_WIRELESS,3
ea:69:6c:07:91:f1,-91,1,HUST_WIRELESS_AUTO,3
ea:69:6c:07:91:ff,-91,1,HUST_WIRELESS,3
02:c2:c6:c4:41:d1,-88,1,DIRECT-sKHD-MIBOOKmsHD,3
b0:d5:9d:92:64:90,-91,1,315,3
0e:69:6c:0a:c0:86,-89,1,HUST_WIRELESS_AUTO,3
00:87:46:20:fb:02,-91,1,360WiFi-FB02,3
0e:69:6c:0a:be:fa,-85,1,HUST_WIRELESS_AUTO,3
06:69:6c:0a:bf:02,-56,1,HUST_WIRELESS,4
20:76:93:3a:ae:78,-64,1,HC5761,4
4a:69:6c:07:a1:e7,-67,1,HUST_WIRELESS_AUTO,4
2a:69:6c:05:c5:25,-72,1,HUST_WIRELESS_AUTO,4
24:05:0f:9b:e7:63,-79,1,zqxll2003,4
08:57:00:7b:63:16,-73,1,TL-WTR9500,4
